t,unknown,oldest_age_s
1790375777,1060,64.0
1790375778,1060,65.0
1790375779,1060,67.0
1790375780,1060,68.0
1790375781,1060,69.0
1790375783,1060,70.0
1790375784,1060,71.0
1790375785,1060,72.0
1790375786,1060,73.0
1790375787,1060,74.0
1790375788,1060,75.0
1790375789,1060,77.0
1790375790,1060,78.0
1790375791,1060,79.0
1790375792,1060,80.0
1790375794,1060,81.0
1790375795,1060,82.0
1790375796,1060,83.0
1790375797,1060,84.0
1790375798,1060,85.0
1790375799,1060,86.0
1790375800,1060,88.0
1790375801,1060,89.0
1790375802,1060,90.0
1790375804,1060,91.0
1790375805,1060,92.0
1790375806,1060,93.0
1790375807,1060,94.0
1790375808,1060,95.0
1790375809,1060,96.0
1790375810,1060,98.0
1790375811,1060,99.0
1790375812,1060,100.0
1790375813,1060,101.0
1790375815,1060,102.0
1790375816,1060,103.0
1790375817,1060,104.0
1790375818,1060,105.0
1790375819,1060,106.0
1790375820,1060,107.0
1790375821,1060,109.0
1790375822,1060,110.0
1790375823,1060,111.0
1790375825,1060,112.0
1790375826,1060,113.0
1790375827,1060,114.0
1790375828,1060,115.0
1790375829,1060,116.0
1790375830,1060,117.0
1790375831,1060,119.0
1790375832,1060,120.0
1790375833,560,87.0
1790375835,560,88.0
1790375836,560,89.0
1790375837,560,90.0
1790375838,560,91.0
1790375839,560,92.0
1790375840,560,93.0
1790375841,560,94.0
1790375842,560,95.0
1790375843,560,97.0
1790375844,560,98.0
1790375846,560,99.0
1790375847,560,100.0
1790375848,560,101.0
1790375849,560,102.0
1790375850,560,103.0
1790375851,560,104.0
1790375852,560,105.0
1790375853,560,106.0
1790375854,560,108.0
1790375856,560,109.0
1790375857,560,110.0
1790375858,560,111.0
1790375859,560,112.0
1790375860,560,113.0
1790375861,560,114.0
1790375862,560,115.0
1790375863,560,116.0
1790375864,560,118.0
1790375865,560,119.0
1790375867,560,120.0
1790375868,560,121.0
1790375869,560,122.0
1790375870,560,123.0
1790375871,560,124.0
1790375872,560,125.0
1790375873,560,126.0
1790375874,560,128.0
1790375875,560,129.0
1790375877,560,130.0
1790375878,560,131.0
1790375879,560,132.0
1790375880,560,133.0
1790375881,560,134.0
1790375882,560,135.0
1790375883,560,136.0
1790375884,560,137.0
1790375885,560,139.0
1790375887,560,140.0
1790375888,560,141.0
1790375889,560,142.0
1790375890,560,143.0
1790375891,560,144.0
1790375892,560,145.0
1790375893,560,146.0
1790375894,560,147.0
1790375895,60,123.0
1790375897,60,124.0
1790375898,60,125.0
1790375899,60,126.0
1790375900,60,127.0
1790375901,60,128.0
1790375902,60,129.0
1790375903,60,130.0
1790375904,60,132.0
1790375905,60,133.0
1790375906,60,134.0
1790375908,60,135.0
1790375909,60,136.0
1790375910,60,137.0
1790375911,60,138.0
1790375912,60,139.0
1790375913,60,140.0
1790375914,60,141.0
1790375915,60,143.0
1790375916,60,144.0
1790375918,60,145.0
1790375919,60,146.0
1790375920,60,147.0
1790375921,60,148.0
1790375922,60,149.0
1790375923,60,150.0
1790375924,60,151.0
1790375925,60,153.0
1790375926,60,154.0
1790375927,60,155.0
1790375929,60,156.0
1790375930,60,157.0
1790375931,60,158.0
1790375932,60,159.0
1790375933,60,160.0
1790375934,60,161.0
1790375935,60,163.0
1790375936,60,164.0
1790375937,60,165.0
1790375939,60,166.0
1790375940,60,167.0
1790375941,60,168.0
1790375942,60,169.0
1790375943,60,170.0
1790375944,60,171.0
1790375945,60,172.0
1790375946,60,174.0
1790375947,60,175.0
1790375948,60,176.0
1790375950,60,177.0
1790375951,60,178.0
1790375952,60,179.0
1790375953,60,180.0
1790375954,60,181.0
1790375955,60,182.0
1790375956,0,0.0
