t,hikari_active,tomcat_busy
1790375729,0.0,1.0
1790375730,1.0,42.0
1790375731,2.0,43.0
1790375733,0.0,42.0
1790375734,1.0,43.0
1790375735,1.0,42.0
1790375736,1.0,41.0
1790375737,1.0,42.0
1790375738,1.0,41.0
1790375739,1.0,42.0
1790375740,0.0,41.0
1790375741,1.0,43.0
1790375742,1.0,41.0
1790375743,1.0,42.0
1790375744,1.0,41.0
1790375745,1.0,42.0
1790375746,1.0,42.0
1790375747,1.0,42.0
1790375748,1.0,41.0
1790375749,0.0,42.0
1790375750,2.0,41.0
1790375751,1.0,42.0
1790375752,1.0,41.0
1790375753,1.0,42.0
1790375754,2.0,42.0
1790375755,1.0,42.0
1790375757,1.0,42.0
1790375758,1.0,42.0
1790375759,0.0,41.0
1790375760,1.0,42.0
1790375761,1.0,42.0
1790375762,1.0,42.0
1790375763,1.0,42.0
1790375764,0.0,42.0
1790375765,1.0,42.0
1790375766,1.0,42.0
1790375767,1.0,43.0
1790375768,2.0,42.0
1790375769,1.0,43.0
1790375770,0.0,41.0
1790375771,1.0,42.0
1790375772,1.0,41.0
1790375773,1.0,42.0
1790375774,2.0,41.0
1790375775,0.0,30.0
1790375776,0.0,17.0
