t,hikari_active,tomcat_busy
1790375287,0.0,1.0
1790375288,1.0,51.0
1790375290,1.0,83.0
1790375291,2.0,82.0
1790375292,1.0,82.0
1790375293,1.0,82.0
1790375294,2.0,82.0
1790375295,8.0,80.0
1790375296,1.0,82.0
1790375297,7.0,83.0
1790375298,2.0,82.0
1790375299,1.0,82.0
1790375300,2.0,82.0
1790375301,2.0,82.0
1790375302,1.0,83.0
1790375303,9.0,83.0
1790375304,2.0,82.0
1790375305,1.0,82.0
1790375306,2.0,82.0
1790375307,1.0,82.0
1790375308,1.0,82.0
1790375309,3.0,82.0
1790375310,1.0,82.0
1790375311,1.0,82.0
1790375312,3.0,82.0
1790375314,1.0,82.0
1790375315,1.0,82.0
1790375316,7.0,81.0
1790375317,1.0,82.0
1790375318,1.0,82.0
1790375319,8.0,83.0
1790375320,1.0,82.0
1790375321,3.0,83.0
1790375322,4.0,81.0
1790375323,1.0,82.0
1790375324,2.0,81.0
1790375325,8.0,82.0
1790375326,1.0,82.0
1790375327,8.0,82.0
1790375328,6.0,81.0
1790375329,1.0,82.0
1790375330,2.0,82.0
1790375331,8.0,81.0
1790375332,1.0,82.0
1790375333,1.0,56.0
1790375334,2.0,6.0
