t,hikari_active,tomcat_busy
1790367937,0.0,1.0
1790367938,0.0,42.0
1790367939,0.0,43.0
1790367940,1.0,42.0
1790367941,2.0,43.0
1790367942,1.0,42.0
1790367943,2.0,42.0
1790367944,1.0,42.0
1790367945,1.0,42.0
1790367947,2.0,43.0
1790367948,1.0,42.0
1790367949,2.0,43.0
1790367950,2.0,42.0
1790367951,0.0,42.0
1790367952,1.0,42.0
1790367953,2.0,41.0
1790367954,1.0,42.0
1790367955,1.0,43.0
1790367956,1.0,42.0
1790367957,1.0,42.0
1790367958,2.0,42.0
1790367959,2.0,42.0
1790367960,1.0,42.0
1790367961,1.0,42.0
1790367962,9.0,43.0
1790367963,1.0,42.0
1790367964,1.0,42.0
1790367965,3.0,42.0
1790367966,3.0,44.0
1790367967,1.0,42.0
1790367968,1.0,42.0
1790367969,1.0,42.0
1790367970,1.0,42.0
1790367971,1.0,42.0
1790367973,1.0,42.0
1790367974,2.0,42.0
1790367975,1.0,42.0
1790367976,1.0,42.0
1790367977,2.0,43.0
1790367978,1.0,42.0
1790367979,1.0,42.0
1790367980,9.0,42.0
1790367981,2.0,43.0
1790367982,1.0,42.0
1790367983,1.0,26.0
