t,hikari_active,tomcat_busy
1790367593,0.0,1.0
1790367595,1.0,42.0
1790367596,1.0,42.0
1790367597,7.0,42.0
1790367598,2.0,43.0
1790367599,1.0,42.0
1790367600,2.0,42.0
1790367601,1.0,43.0
1790367602,1.0,42.0
1790367603,10.0,44.0
1790367604,2.0,43.0
1790367605,0.0,42.0
1790367606,1.0,41.0
1790367607,1.0,42.0
1790367608,1.0,42.0
1790367609,2.0,43.0
1790367610,1.0,42.0
1790367611,1.0,42.0
1790367612,7.0,41.0
1790367613,1.0,42.0
1790367614,1.0,42.0
1790367615,2.0,41.0
1790367616,1.0,42.0
1790367617,0.0,42.0
1790367618,2.0,42.0
1790367620,1.0,42.0
1790367621,1.0,42.0
1790367622,1.0,40.0
1790367623,1.0,42.0
1790367624,1.0,42.0
1790367625,1.0,42.0
1790367626,1.0,42.0
1790367627,1.0,42.0
1790367628,1.0,42.0
1790367629,1.0,42.0
1790367630,8.0,42.0
1790367631,1.0,42.0
1790367632,1.0,42.0
1790367633,1.0,42.0
1790367634,0.0,41.0
1790367635,1.0,42.0
1790367636,3.0,42.0
1790367637,1.0,42.0
1790367638,2.0,43.0
1790367639,1.0,24.0
